"","Code","Name","Postcode","Start","Close","Sector","CCG20CD","CCG20NM","STP20CD","STP20CDH","STP20NM","NHSER20CD","NHSER20CDH","NHSER20NM","STPCDH","latitude","longitude","Successor.Code","Organisation.Name","Latest.Status","Date.Of.Publication","Primary.Sector","Commissioner..From.ODS.","Successor.Status","Final.Status","Short.Status"
"153","R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST","HA1 3UJ",2014-10-01,,"Trust",,,"E54000027",,"North West London Health and Care Partnership","E40000003","Y56","London","QRV",51.575407,-0.322037,,"LONDON NORTH WEST HEALTHCARE NHS TRUST","20/21 Standards Met","28/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"154","R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","SS11 7XX",2017-04-01,,"Trust",,,"E54000026",,"Mid and South Essex","E40000007","Y61","East of England","QH8",51.633013,0.543374,,"ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","20/21 Standards Exceeded","29/06/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"155","RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","GU2 7XX",1991-04-01,,"Trust",,,"E54000052",,"Surrey Heartlands Health and Care Partnership","E40000005","Y59","South East","QXU",51.241016,-0.607463,,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","20/21 Approaching Standards","09/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"156","RA4","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","BA21 4AT",1991-04-01,,"Trust",,,"E54000038",,"Somerset","E40000006","Y58","South West","QSL",50.944843,-2.634712,,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"157","RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST","BS1 3NU",1991-04-01,,"Trust",,,"E54000039",,"Bristol, North Somerset and South Gloucestershire","E40000006","Y58","South West","QUY",51.459478,-2.593019,,"University Hospitals Bristol and Weston NHS Foundation Trust","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"158","RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","TQ2 7AA",1991-04-01,,"Trust",,,"E54000037",,"Devon","E40000006","Y58","South West","QJK",50.482316,-3.553804,,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","20/21 Standards Met","04/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"159","RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","BD9 6RJ",1991-04-01,,"Trust",,,"E54000054",,"West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire","QWO",53.80598,-1.794697,,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","28/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"160","RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST","SS0 0RY",1991-04-01,,"Trust",,,"E54000026",,"Mid and South Essex","E40000007","Y61","East of England","QH8",51.553838,0.688617,,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST","20/21 Approaching Standards","25/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"161","RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST","NW3 2QG",1991-04-01,,"Trust",,,"E54000028",,"North London Partners in Health and Care","E40000003","Y56","London","QMJ",51.553224,-0.165324,,"ROYAL FREE LONDON NHS FOUNDATION TRUST","20/21 Standards Not Met","30/06/2021","NHS Trust","",,"20/21 Standards Not Met","Standards Not Met"
"162","RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","HA7 4LP",1991-04-01,,"Trust",,,"E54000027",,"North West London Health and Care Partnership","E40000003","Y56","London","QRV",51.632566,-0.310435,,"ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","20/21 Standards Met","27/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"163","RAP","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","N18 1QX",1991-04-01,,"Trust",,,"E54000028",,"North London Partners in Health and Care","E40000003","Y56","London","QMJ",51.613094,-0.07375,,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","20/21 Standards Met","02/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"164","RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","UB8 3NN",1991-04-01,,"Trust",,,"E54000027",,"North West London Health and Care Partnership","E40000003","Y56","London","QRV",51.526077,-0.461175,,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Exceeded","28/07/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"165","RAT","NORTH EAST LONDON NHS FOUNDATION TRUST","RM13 8GQ",2001-04-01,,"Trust",,,"E54000029",,"East London Health and Care Partnership","E40000003","Y56","London","QMF",51.518578,0.171162,,"NORTH EAST LONDON NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"166","RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST","KT2 7QB",1991-04-01,,"Trust",,,"E54000031",,"South West London Health and Care Partnership","E40000003","Y56","London","QWE",51.414826,-0.282601,,"KINGSTON HOSPITAL NHS FOUNDATION TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"167","RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","DT1 2JY",1991-04-01,,"Trust",,,"E54000041",,"Dorset","E40000006","Y58","South West","QVV",50.71294,-2.446936,,"DORSET COUNTY HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"168","RBK","WALSALL HEALTHCARE NHS TRUST","WS2 9PS",1991-04-01,,"Trust",,,"E54000016",,"The Black Country and West Birmingham","E40000008","Y60","Midlands","QUA",52.58233,-1.998924,,"WALSALL HEALTHCARE NHS TRUST","20/21 Standards Met","04/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"169","RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","CH49 5PE",1991-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.36964,-3.096815,,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"170","RBN","ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST","L35 5DR",1991-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.420469,-2.784954,,"ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"171","RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","L14 3PE",1991-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.411151,-2.897989,,"LIVERPOOL HEART AND CHEST HOSPITAL NHS TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"172","RBS","ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","L12 2AP",1991-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.420242,-2.898723,,"Alder Hey Children's NHS Foundation Trust","20/21 Approaching Standards","01/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"173","RBT","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","CW1 4QJ",1991-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.117685,-2.475863,,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","28/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"174","RBV","THE CHRISTIE NHS FOUNDATION TRUST","M20 4BX",1991-04-01,,"Trust",,,"E54000007",,"Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West","QOP",53.429767,-2.230125,,"THE CHRISTIE NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"175","RBZ","NORTHERN DEVON HEALTHCARE NHS TRUST","EX31 4JB",1991-04-01,,"Trust",,,"E54000037",,"Devon","E40000006","Y58","South West","QJK",51.092169,-4.050431,,"NORTHERN DEVON HEALTHCARE NHS TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"176","RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST","LU4 0DZ",1992-04-01,,"Trust",,,"E54000024",,"Bedfordshire, Luton and Milton Keynes","E40000007","Y61","East of England","QHG",51.894152,-0.474405,,"Bedfordshire Hospitals NHS Foundation Trust","20/21 Approaching Standards","09/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"177","RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST","YO31 8HE",1992-04-01,,"Trust",,,"E54000051",,"Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire","QOQ",53.968952,-1.084285,,"York and Scarborough Teaching Hospitals NHS Foundation Trust","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"178","RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","HG2 7SX",1992-04-01,,"Trust",,,"E54000051",,"Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire","QOQ",53.993807,-1.517573,,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST","20/21 Standards Met","16/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"179","RCF","AIREDALE NHS FOUNDATION TRUST","BD20 6TD",1992-04-01,,"Trust",,,"E54000054",,"West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire","QWO",53.898015,-1.962695,,"AIREDALE NHS FOUNDATION TRUST","20/21 Standards Met","06/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"180","RCU","SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","S10 2TH",1992-04-01,,"Trust",,,"E54000009",,"South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire","QF7",53.380599,-1.490629,,"SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"181","RCX","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","PE30 4ET",1992-04-01,,"Trust",,,"E54000022",,"Norfolk and Waveney Health and Care Partnership","E40000007","Y61","East of England","QMM",52.75663,0.446694,,"THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST","20/21 Approaching Standards","23/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"182","RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST","BA1 3NG",1992-04-01,,"Trust",,,"E54000040",,"Bath and North East Somerset, Swindon and Wiltshire","E40000006","Y58","South West","QOX",51.391665,-2.391218,,"ROYAL UNITED HOSPITAL BATH NHS TRUST","20/21 Standards Met","02/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"183","RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","MK6 5LD",1992-04-01,,"Trust",,,"E54000024",,"Bedfordshire, Luton and Milton Keynes","E40000007","Y61","East of England","QHG",52.026384,-0.73576,,"Milton Keynes University Hospital NHS Foundation Trust","20/21 Standards Met","10/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"184","RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST","CO4 5JL",1992-04-01,,"Trust",,,"E54000023",,"Suffolk and North East Essex","E40000007","Y61","East of England","QJG",51.910164,0.899182,,"East Suffolk and North Essex Foundation Trust","20/21 Approaching Standards","03/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"185","RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST","BN2 3EW",1992-04-01,,"Trust",,,"E54000053",,"Sussex and East Surrey Health and Care Partnership","E40000005","Y59","South East","QNX",50.831176,-0.114497,,"Sussex Community NHS Foundation Trust","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"186","RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST","GU16 7UJ",1992-04-01,,"Trust",,,"E54000034",,"Frimley Health and Care ICS","E40000005","Y59","South East","QNQ",51.319666,-0.742029,,"FRIMLEY HEALTH NHS FOUNDATION TRUST","20/21 Standards Not Met","29/06/2021","NHS Trust","",,"20/21 Standards Not Met","Standards Not Met"
"187","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","BH17 0RB",1992-04-01,,"Trust",,,"E54000041",,"Dorset","E40000006","Y58","South West","QVV",50.740073,-1.978038,,"DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","20/21 Approaching Standards","28/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"188","REF","ROYAL CORNWALL HOSPITALS NHS TRUST","TR1 3LJ",1992-04-01,,"Trust",,,"E54000036",,"Cornwall and the Isles of Scilly Health and Social Care Partnership","E40000006","Y58","South West","QT6",50.266686,-5.091464,,"ROYAL CORNWALL HOSPITALS NHS TRUST","20/21 Standards Met","28/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"189","REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","L7 8XP",1992-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.409506,-2.964809,,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","29/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"190","REN","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","CH63 4JY",1992-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.332884,-3.024137,,"CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"191","REP","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","L8 7SS",1992-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.398461,-2.960077,,"LIVERPOOL WOMENS HOSPITAL NHS TRUST","20/21 Standards Exceeded","30/06/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"192","RET","THE WALTON CENTRE NHS FOUNDATION TRUST","L9 7LJ",1992-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.466395,-2.931,,"THE WALTON CENTRE NHS FOUNDATION TRUST","20/21 Standards Met","30/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"193","RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RM7 0AG",2001-04-01,,"Trust",,,"E54000029",,"East London Health and Care Partnership","E40000003","Y56","London","QMF",51.568647,0.179031,,"BARKING, HAVERING AND REDBRIDGE HOSPITALS NHS TRUST","20/21 Standards Met","22/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"194","RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","S75 2EP",1993-04-01,,"Trust",,,"E54000009",,"South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire","QF7",53.559132,-1.499493,,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST","20/21 Standards Met","28/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"195","RFR","THE ROTHERHAM NHS FOUNDATION TRUST","S60 2UD",1993-04-01,,"Trust",,,"E54000009",,"South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire","QF7",53.413972,-1.34288,,"THE ROTHERHAM NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"196","RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","S44 5BL",1993-04-01,,"Trust",,,"E54000012",,"Joined Up Care Derbyshire","E40000008","Y60","Midlands","QJ2",53.236214,-1.400051,,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"197","RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","LS15 8ZB",1993-04-01,,"Trust",,,"E54000054",,"West Yorkshire and Harrogate (Health and Care Partnership)","E40000009","Y63","North East and Yorkshire","QWO",53.796822,-1.426439,,"LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"198","RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","CB2 0AY",1993-04-01,,"Trust",,,"E54000021",,"Cambridgeshire and Peterborough","E40000007","Y61","East of England","QUE",52.173522,0.136046,,"ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"199","RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST","PE3 9GZ",1993-04-01,,"Trust",,,"E54000021",,"Cambridgeshire and Peterborough","E40000007","Y61","East of England","QUE",52.583921,-0.279386,,"NORTH WEST ANGLIA NHS FOUNDATION TRUST","20/21 Standards Met","02/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"200","RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","NR31 6LA",1993-04-01,,"Trust",,,"E54000022",,"Norfolk and Waveney Health and Care Partnership","E40000007","Y61","East of England","QMM",52.561672,1.71798,,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Exceeded","30/06/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"201","RGR","WEST SUFFOLK NHS FOUNDATION TRUST","IP33 2QZ",1993-04-01,,"Trust",,,"E54000023",,"Suffolk and North East Essex","E40000007","Y61","East of England","QJG",52.231662,0.709176,,"WEST SUFFOLK NHS FOUNDATION TRUST","20/21 Approaching Standards","03/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"202","RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","CB2 0QQ",1993-04-01,,"Trust",,,"E54000021",,"Cambridgeshire and Peterborough","E40000007","Y61","East of England","QUE",52.173741,0.139114,,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","20/21 Approaching Standards","29/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"203","RH5","SOMERSET NHS FOUNDATION TRUST","TA1 5DA",1993-04-01,,"Trust",,,"E54000038",,"Somerset","E40000006","Y58","South West","QSL",51.011569,-3.121702,,"SOMERSET NHS FOUNDATION TRUST","20/21 Standards Exceeded","21/06/2021","NHS Trust","",,"20/21 Standards Exceeded","Standards Exceeded"
"204","RH8","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","EX2 5DW",1993-04-01,,"Trust",,,"E54000037",,"Devon","E40000006","Y58","South West","QJK",50.716703,-3.50668,,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","20/21 Approaching Standards","29/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"205","RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST","NG3 6AA",2001-04-01,,"Trust",,,"E54000014",,"Nottingham and Nottinghamshire Health and Care","E40000008","Y60","Midlands","QT1",52.979272,-1.12643,,"Nottinghamshire Healthcare NHS Foundation Trust","20/21 Standards Met","09/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"206","RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","SO16 6YD",1993-04-01,,"Trust",,,"E54000042",,"Hampshire and the Isle of Wight","E40000005","Y59","South East","QRL",50.933019,-1.435104,,"University Hospitals Southampton NHS Foundation Trust","20/21 Approaching Standards","25/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"207","RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","S5 7AU",2001-04-01,,"Trust",,,"E54000009",,"South Yorkshire and Bassetlaw","E40000009","Y63","North East and Yorkshire","QF7",53.409821,-1.455965,,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","28/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"208","RHU","PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST","PO6 3LY",1993-04-01,,"Trust",,,"E54000042",,"Hampshire and the Isle of Wight","E40000005","Y59","South East","QRL",50.850297,-1.069932,,"PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST","20/21 Approaching Standards","12/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"209","RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RG1 5AN",1993-04-01,,"Trust",,,"E54000044",,"Buckinghamshire, Oxfordshire and Berkshire West","E40000005","Y59","South East","QU9",51.451022,-0.95933,,"ROYAL BERKSHIRE NHS FOUNDATION TRUST","20/21 Approaching Standards","20/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"210","RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","SE1 7EH",1993-04-01,,"Trust",,,"E54000030",,"Our Healthier South East London","E40000003","Y56","London","QKK",51.497959,-0.118905,,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"211","RJ2","LEWISHAM AND GREENWICH NHS TRUST","SE13 6LH",1993-04-01,,"Trust",,,"E54000030",,"Our Healthier South East London","E40000003","Y56","London","QKK",51.453022,-0.017916,,"Lewisham and Greenwich NHS Trust","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"212","RJ6","CROYDON HEALTH SERVICES NHS TRUST","CR7 7YE",1993-04-01,,"Trust",,,"E54000031",,"South West London Health and Care Partnership","E40000003","Y56","London","QWE",51.389128,-0.108758,,"Croydon Health Services NHS Trust","20/21 Standards Not Met","05/07/2021","NHS Trust","",,"20/21 Standards Not Met","Standards Not Met"
"213","RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","SW17 0QT",1993-04-01,,"Trust",,,"E54000031",,"South West London Health and Care Partnership","E40000003","Y56","London","QWE",51.426682,-0.175694,,"St George's University Hospitals NHS Foundation Trust","20/21 Standards Met","03/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"214","RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","PL31 2QN",1993-04-01,,"Trust",,,"E54000036",,"Cornwall and the Isles of Scilly Health and Social Care Partnership","E40000006","Y58","South West","QT6",50.471755,-4.740857,,"CORNWALL PARTNERSHIP NHS FOUNDATION TRUST","20/21 Standards Met","29/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"215","RJC","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","CV34 5BW",1993-04-01,,"Trust",,,"E54000018",,"Coventry and Warwickshire","E40000008","Y60","Midlands","QWU",52.289965,-1.583203,,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"216","RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","ST4 6QG",1993-04-01,,"Trust",,,"E54000010",,"Staffordshire and Stoke on Trent","E40000008","Y60","Midlands","QNC",53.003262,-2.211798,,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"217","RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","DN33 2BA",2001-04-01,,"Trust",,,"E54000051",,"Humber, Coast and Vale","E40000009","Y63","North East and Yorkshire","QOQ",53.544882,-0.096233,,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","20/21 Approaching Standards","30/06/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"218","RJN","EAST CHESHIRE NHS TRUST","SK10 3BL",1993-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.262321,-2.141074,,"EAST CHESHIRE NHS TRUST","20/21 Standards Met","30/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"219","RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","CH2 1UL",1993-04-01,,"Trust",,,"E54000008",,"Cheshire and Merseyside","E40000010","Y62","North West","QYG",53.2088,-2.897884,,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","20/21 Approaching Standards","12/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"220","RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","SE5 9RS",1993-04-01,,"Trust",,,"E54000030",,"Our Healthier South East London","E40000003","Y56","London","QKK",51.468077,-0.093916,,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","20/21 Approaching Standards","02/08/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
"221","RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","NG17 4JL",1994-04-01,,"Trust",,,"E54000014",,"Nottingham and Nottinghamshire Health and Care","E40000008","Y60","Midlands","QT1",53.134573,-1.233579,,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","20/21 Standards Met","03/08/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"222","RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST","PL6 8DH",1994-04-01,,"Trust",,,"E54000037",,"Devon","E40000006","Y58","South West","QJK",50.41672,-4.113684,,"University Hospitals Plymouth NHS Trust","20/21 Standards Met","24/06/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"223","RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","CV2 2DX",1993-04-01,,"Trust",,,"E54000018",,"Coventry and Warwickshire","E40000008","Y60","Midlands","QWU",52.421211,-1.438403,,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","20/21 Standards Met","28/07/2021","NHS Trust","",,"20/21 Standards Met","Standards Met"
"224","RKE","WHITTINGTON HEALTH NHS TRUST","N19 5NF",1993-04-01,,"Trust",,,"E54000028",,"North London Partners in Health and Care","E40000003","Y56","London","QMJ",51.566482,-0.139066,,"THE WHITTINGTON HOSPITAL NHS TRUST","20/21 Approaching Standards","02/07/2021","NHS Trust","",,"20/21 Approaching Standards","Approaching Standards"
